Column,doid,label,disorder_qid,subclass_of,subclass_of_qid
798,obo.DOID_4664,filamentary keratitis,Q18556420,keratitis,Q757838
799,obo.DOID_9697,gonococcal keratitis,Q18558192,keratitis,Q757838
800,obo.DOID_10125,acute hydrops keratoconus,Q18553786,keratoconus,Q611984
801,obo.DOID_10428,stable condition keratoconus,Q18553861,keratoconus,Q611984
802,obo.DOID_11031,bullous keratopathy,Q2805908,corneal edema,Q18553993
803,obo.DOID_11032,secondary corneal edema,Q18553994,corneal edema,Q18553993
804,obo.DOID_11033,idiopathic corneal edema,Q18553995,corneal edema,Q18553993
805,obo.DOID_11034,contact lens corneal edema,Q18553996,corneal edema,Q18553993
806,obo.DOID_12307,anterior corneal pigmentation,Q18554291,corneal deposit,Q18554103
807,obo.DOID_13448,posterior corneal pigmentation,Q18554518,corneal deposit,Q18554103
808,obo.DOID_11781,regular astigmatism,Q18554171,astigmatism,Q177895
809,obo.DOID_13919,irregular astigmatism,Q18554630,astigmatism,Q177895
810,obo.DOID_11829,degenerative myopia,Q18554189,myopia,Q168403
811,obo.DOID_540,strabismus,Q179951,ocular motility disease,Q18554378
813,obo.DOID_11295,retinal microaneurysm,Q18554057,retinal vascular disease,Q12195125
814,obo.DOID_8947,diabetic retinopathy,Q631361,retinal vascular disease,Q12195125
816,obo.DOID_0080160,Cytomegalovirus retinitis,Q4271835,retinitis,Q630552
817,obo.DOID_11316,histoplasmosis retinitis,Q7242093,retinitis,Q630552
818,obo.DOID_3611,acute retinal necrosis syndrome,Q4677951,retinitis,Q630552
819,obo.DOID_0110005,Leber congenital amaurosis 9,Q27677581,Leber congenital amaurosis,Q1811132
824,obo.DOID_0110118,Leber congenital amaurosis 16,Q27677637,Leber congenital amaurosis,Q1811132
826,obo.DOID_0110189,Leber congenital amaurosis 15,Q27674860,Leber congenital amaurosis,Q1811132
830,obo.DOID_0110291,Leber congenital amaurosis 10,Q27677710,Leber congenital amaurosis,Q1811132
836,obo.DOID_11282,solar retinopathy,Q7556879,chorioretinal scar,Q18554003
837,obo.DOID_11283,peripheral scars of retina,Q18554055,chorioretinal scar,Q18554003
838,obo.DOID_8498,hereditary night blindness,Q18557952,night blindness,Q7758678
839,obo.DOID_11874,abnormal threshold of rods,Q18554203,night blindness,Q7758678
840,obo.DOID_12514,retinal perforation,Q18554331,retinal detachment,Q625164
841,obo.DOID_4449,macular retinal edema,Q1813737,retinal edema,Q18557405
842,obo.DOID_11212,hydrophthalmos,Q1640324,primary congenital glaucoma,Q3108582
843,obo.DOID_1066,residual stage of open angle glaucoma,Q18553914,open-angle glaucoma,Q3108586
844,obo.DOID_1070,primary open angle glaucoma,Q18553921,open-angle glaucoma,Q3108586
845,obo.DOID_13544,low tension glaucoma,Q17300307,open-angle glaucoma,Q3108586
846,obo.DOID_12570,phacolytic glaucoma,Q18554345,phacogenic glaucoma,Q18554346
847,obo.DOID_13641,exfoliation syndrome,Q3824795,phacogenic glaucoma,Q18554346
848,obo.DOID_13327,anatomical narrow angle borderline glaucoma,Q18554488,borderline glaucoma,Q18558092
849,obo.DOID_14548,steroid-induced glaucoma - borderline,Q18554792,borderline glaucoma,Q18558092
850,obo.DOID_1405,primary angle-closure glaucoma,Q18554668,angle-closure glaucoma,Q18554545
851,obo.DOID_9948,residual stage corticosteroid-induced glaucoma,Q18558265,steroid-induced glaucoma,Q3771927
852,obo.DOID_0090114,Sorsby's fundus dystrophy,Q30314095,hereditary retinal dystrophy,Q18557955
853,obo.DOID_0111569,autosomal dominant vitreoretinochoroidopathy,Q55345683,hereditary retinal dystrophy,Q18557955
855,obo.DOID_0060836,isolated microphthalmia 4,Q28065640,isolated microphthalmia,Q55762665
856,obo.DOID_0060837,isolated microphthalmia 5,Q28065641,isolated microphthalmia,Q55762665
857,obo.DOID_0060838,isolated microphthalmia 7,Q28065642,isolated microphthalmia,Q55762665
858,obo.DOID_0060839,isolated microphthalmia 2,Q28065643,isolated microphthalmia,Q55762665
867,obo.DOID_0110229,cataract 6 multiple types,Q27677691,cataract,Q127724
870,obo.DOID_0110232,cataract 29,Q27674871,cataract,Q127724
871,obo.DOID_0110233,cataract 27,Q27674872,cataract,Q127724
874,obo.DOID_0110236,cataract 39 multiple types,Q27674876,cataract,Q127724
875,obo.DOID_0110237,cataract 42,Q27674877,cataract,Q127724
876,obo.DOID_0110238,cataract 18,Q27674879,cataract,Q127724
879,obo.DOID_0110241,cataract 41,Q27674882,cataract,Q127724
880,obo.DOID_0110242,cataract 13 with adult i phenotype,Q27674883,cataract,Q127724
881,obo.DOID_0110243,cataract 46 juvenile-onset,Q27674884,cataract,Q127724
882,obo.DOID_0110244,cataract 28,Q27674885,cataract,Q127724
883,obo.DOID_0110245,cataract 38,Q27674886,cataract,Q127724
884,obo.DOID_0110246,cataract 26 multiple types,Q27674887,cataract,Q127724
885,obo.DOID_0110247,cataract 36,Q27674888,cataract,Q127724
886,obo.DOID_0110248,cataract 30,Q27674889,cataract,Q127724
889,obo.DOID_0110251,cataract 15 multiple types,Q27674891,cataract,Q127724
890,obo.DOID_0110252,cataract 37,Q27674892,cataract,Q127724
892,obo.DOID_0110254,cataract 25,Q27674894,cataract,Q127724
897,obo.DOID_0110259,cataract 43,Q27674899,cataract,Q127724
898,obo.DOID_0110260,cataract 7,Q27674901,cataract,Q127724
899,obo.DOID_0110261,cataract 35,Q27674902,cataract,Q127724
901,obo.DOID_0110263,cataract 19 multiple types,Q27674903,cataract,Q127724
905,obo.DOID_0110267,cataract 44,Q27674906,cataract,Q127724
909,obo.DOID_0110271,cataract 23,Q27674912,cataract,Q127724
910,obo.DOID_0110272,Zonular cataract and nystagmus,Q8074019,cataract,Q127724
911,obo.DOID_9669,senile cataract,Q18558188,cataract,Q127724
912,obo.DOID_13328,diabetic cataract,Q18554489,cataract,Q127724
913,obo.DOID_13822,tetanic cataract,Q18554613,cataract,Q127724
914,obo.DOID_82,myotonic cataract,Q18557868,cataract,Q127724
915,obo.DOID_0111149,autosomal recessive isolated ectopia lentis 2,Q50349815,isolated ectopia lentis,Q50349814
916,obo.DOID_0111150,autosomal dominant isolated ectopia lentis 1,Q50349816,isolated ectopia lentis,Q50349814
919,obo.DOID_0050664,Bietti crystalline corneoretinal dystrophy,Q4904691,retinal degeneration,Q3043268
920,obo.DOID_8465,retinoschisis,Q1049881,retinal degeneration,Q3043268
921,obo.DOID_0060869,late-onset retinal degenration,Q32136602,retinal degeneration,Q3043268
923,obo.DOID_12161,peripheral retinal degeneration,Q18554249,retinal degeneration,Q3043268
924,obo.DOID_11029,pinguecula,Q1862031,conjunctival degeneration,Q18553789
925,obo.DOID_11164,band keratopathy,Q4854239,corneal degeneration,Q18554311
926,obo.DOID_11267,keratomalacia,Q379418,corneal degeneration,Q18554311
927,obo.DOID_11342,arcus senilis,Q120136,corneal degeneration,Q18554311
928,obo.DOID_11541,recurrent corneal erosion,Q2455180,corneal degeneration,Q18554311
929,obo.DOID_11793,phthisical cornea,Q18554175,corneal degeneration,Q18554311
930,obo.DOID_14507,peripheral degeneration of cornea,Q18554780,corneal degeneration,Q18554311
931,obo.DOID_2879,nodular degeneration of cornea,Q18555225,corneal degeneration,Q18554311
932,obo.DOID_9776,senile atrophy of choroid,Q18558219,choroidal sclerosis,Q18558226
933,obo.DOID_979,angioid streaks of choroid,Q18558223,choroidal sclerosis,Q18558226
934,obo.DOID_9794,hereditary choroidal atrophy,Q18558224,choroidal sclerosis,Q18558226
935,obo.DOID_981,diffuse secondary choroid atrophy,Q18558230,choroidal sclerosis,Q18558226
936,obo.DOID_10138,xerophthalmia,Q1054713,dry eye syndrome,Q18553790
938,obo.DOID_12809,chronic lacrimal gland enlargement,Q18554383,dacryoadenitis,Q1424488
939,obo.DOID_949,chronic dacryoadenitis,Q18558139,dacryoadenitis,Q1424488
940,obo.DOID_952,acute dacryoadenitis,Q18558153,dacryoadenitis,Q1424488
941,obo.DOID_13756,epiphora due to insufficient drainage,Q18554594,excessive tearing,Q1347256
942,obo.DOID_14244,epiphora due to excess lacrimation,Q18554717,excessive tearing,Q1347256
943,obo.DOID_9938,dacryocystitis,Q1157761,acute inflammation of lacrimal passage,Q18557424
944,obo.DOID_6969,acute canaliculitis,Q18557423,acute inflammation of lacrimal passage,Q18557424
945,obo.DOID_9936,chronic canaliculitis,Q18558260,chronic inflammation of lacrimal passage,Q18558259
946,obo.DOID_9939,dacryocystocele,Q3011658,chronic inflammation of lacrimal passage,Q18558259
947,obo.DOID_11184,acute conjunctivitis,Q18554026,conjunctivitis,Q167844
948,obo.DOID_2475,chronic conjunctivitis,Q18555092,conjunctivitis,Q167844
949,obo.DOID_2458,papillary conjunctivitis,Q18555086,conjunctivitis,Q167844
950,obo.DOID_9700,bacterial conjunctivitis,Q18558195,conjunctivitis,Q167844
951,obo.DOID_9709,rosacea conjunctivitis,Q18558196,conjunctivitis,Q167844
952,obo.DOID_11988,conjunctival concretion,Q5161171,conjunctival deposit,Q18554139
953,obo.DOID_11594,ring staphyloma,Q18554115,scleral staphyloma,Q18554116
954,obo.DOID_13787,localized anterior staphyloma,Q18554597,scleral staphyloma,Q18554116
955,obo.DOID_13788,equatorial staphyloma,Q18554598,scleral staphyloma,Q18554116
956,obo.DOID_13789,staphyloma posticum,Q18554599,scleral staphyloma,Q18554116
957,obo.DOID_13676,posterior scleritis,Q18554577,scleritis,Q511000
958,obo.DOID_13794,anterior scleritis,Q18554603,scleritis,Q511000
959,obo.DOID_13861,scleroperikeratitis,Q18554619,scleritis,Q511000
960,obo.DOID_14523,Argyll Robertson pupil,Q652568,abnormal pupillary function,Q18554099
961,obo.DOID_11831,cortical blindness,Q895871,visual cortex disease,Q18556943
962,obo.DOID_9724,purulent endophthalmitis,Q18558202,endophthalmitis,Q1294912
963,obo.DOID_9698,gonococcal endophthalmia,Q18558193,endophthalmitis,Q1294912
964,obo.DOID_11864,peripheral focal chorioretinitis,Q18554199,focal chorioretinitis,Q18554953
965,obo.DOID_0050786,iridogoniodysgenesis syndrome,Q17125601,iris disease,Q18555070
966,obo.DOID_12271,aniridia,Q548719,iris disease,Q18555070
967,obo.DOID_1406,iritis,Q2346396,iris disease,Q18555070
968,obo.DOID_4353,ciliary body disease,Q18556290,iris disease,Q18555070
969,obo.DOID_11406,choroiditis,Q3693917,choroid disease,Q18554701
970,obo.DOID_1415,Gyrate atrophy of the choroid,Q3629047,choroid disease,Q18554701
971,obo.DOID_9821,choroideremia,Q2397009,choroid disease,Q18554701
972,obo.DOID_12030,panuveitis,Q18554228,uveitis,Q280027
973,obo.DOID_12732,intermediate uveitis,Q8511208,uveitis,Q280027
974,obo.DOID_13140,suppurative uveitis,Q18554449,uveitis,Q280027
976,obo.DOID_11661,tritanopia,Q18554140,color blindness,Q133696
978,obo.DOID_13910,protanopia,Q1300720,color blindness,Q133696
979,obo.DOID_13912,acquired color blindness,Q18554628,color blindness,Q133696
980,obo.DOID_10965,spastic diplegia,Q3029045,spastic cerebral palsy,Q7573995
981,obo.DOID_10967,spastic hemiplegia,Q7573994,spastic cerebral palsy,Q7573995
982,obo.DOID_10968,spastic monoplegia,Q18553982,spastic cerebral palsy,Q7573995
983,obo.DOID_10970,spastic quadriplegia,Q3985306,spastic cerebral palsy,Q7573995
984,obo.DOID_0050703,infancy electroclinical syndrome,Q18553413,electroclinical syndrome,Q18553411
985,obo.DOID_0050702,neonatal period electroclinical syndrome,Q18553412,electroclinical syndrome,Q18553411
986,obo.DOID_0070309,absence seizure,Q2346980,electroclinical syndrome,Q18553411
987,obo.DOID_0050706,variable age at onset electroclinical syndrome,Q18553416,electroclinical syndrome,Q18553411
988,obo.DOID_0080471,infantile or early childhood epileptic encephalopathy 2,Q61913488,electroclinical syndrome,Q18553411
989,obo.DOID_0080472,infantile or early childhood epileptic encephalopathy 1,Q61913489,electroclinical syndrome,Q18553411
991,obo.DOID_0060475,childhood onset epileptic encephalopathy,Q21694579,juvenile myoclonic epilepsy,Q543517
1002,obo.DOID_0111321,juvenile myoclonic epilepsy,Q543517,juvenile myoclonic epilepsy,Q543517
1005,obo.DOID_3331,frontal lobe epilepsy,Q3204645,focal epilepsy,Q7140388
1006,obo.DOID_3328,temporal lobe epilepsy,Q616667,focal epilepsy,Q7140388
1008,obo.DOID_3327,partial motor epilepsy,Q18555381,focal epilepsy,Q7140388
1009,obo.DOID_3330,partial sensory epilepsy,Q18555382,focal epilepsy,Q7140388
1010,obo.DOID_5129,Simple partial seizure,Q1132959,focal epilepsy,Q7140388
1011,obo.DOID_0050835,generalized dystonia,Q18553505,dystonia,Q906492
1012,obo.DOID_0050836,focal dystonia,Q1428695,dystonia,Q906492
1013,obo.DOID_0050837,multifocal dystonia,Q18553506,dystonia,Q906492
1014,obo.DOID_0050838,segmental dystonia,Q18553507,dystonia,Q906492
1018,obo.DOID_0090041,torsion dystonia 4,Q32038800,dystonia,Q906492
1019,obo.DOID_0090042,torsion dystonia 17,Q32038801,dystonia,Q906492
1021,obo.DOID_0090044,dystonia 9,Q32038804,dystonia,Q906492
1022,obo.DOID_0090045,childhood onset GLUT1 deficiency syndrome 2,Q7139585,dystonia,Q906492
1023,obo.DOID_0090046,dystonia 21,Q30989832,dystonia,Q906492
1025,obo.DOID_0090049,paroxysmal nonkinesigenic dyskinesia 1,Q42863543,dystonia,Q906492
1029,obo.DOID_0111168,Sepiapterin reductase deficiency,Q17156923,dystonia,Q906492
1035,obo.DOID_14483,chorea gravidarum,Q5105007,choreatic disease,Q1076421
1036,obo.DOID_0060178,familial hemiplegic migraine,Q3312899,migraine with aura,Q18553762
1037,obo.DOID_0060785,adult-onset autosomal dominant demyelinating leukodystrophy,Q28065590,leukodystrophy,Q1821559
1039,obo.DOID_0060868,leukoencephalopathy with vanishing white matter,Q3508563,leukodystrophy,Q1821559
1043,obo.DOID_10588,X-linked adrenoleukodystrophy,Q366964,leukodystrophy,Q1821559
1044,obo.DOID_3613,Canavan disease,Q2349546,leukodystrophy,Q1821559
1045,obo.DOID_4252,Alexander disease,Q567820,leukodystrophy,Q1821559
1047,obo.DOID_14159,obstructive hydrocephalus,Q18967803,hydrocephalus,Q193003
1048,obo.DOID_1573,communicating hydrocephalus,Q3791943,hydrocephalus,Q193003
1052,obo.DOID_0050755,spinocerebellar ataxia with axonal neuropathy type 2,Q18553453,autosomal recessive cerebellar ataxia,Q4826996
1053,obo.DOID_0050946,Charlevoix-Saguenay spastic ataxia,Q2868786,autosomal recessive cerebellar ataxia,Q4826996
1056,obo.DOID_0080029,autosomal recessive spinocerebellar ataxia 16,Q21124555,autosomal recessive cerebellar ataxia,Q4826996
1057,obo.DOID_0080042,autosomal recessive spinocerebellar ataxia 18,Q21124560,autosomal recessive cerebellar ataxia,Q4826996
1058,obo.DOID_0080057,autosomal recessive spinocerebellar ataxia 15,Q21124566,autosomal recessive cerebellar ataxia,Q4826996
1059,obo.DOID_0080058,autosomal recessive spinocerebellar ataxia 14,Q21124567,autosomal recessive cerebellar ataxia,Q4826996
1060,obo.DOID_0080059,autosomal recessive spinocerebellar ataxia 7,Q21124568,autosomal recessive cerebellar ataxia,Q4826996
1061,obo.DOID_0080060,autosomal recessive spinocerebellar ataxia 12,Q21124570,autosomal recessive cerebellar ataxia,Q4826996
1065,obo.DOID_0080064,autosomal recessive spinocerebellar ataxia 17,Q21124574,autosomal recessive cerebellar ataxia,Q4826996
1067,obo.DOID_0080066,autosomal recessive spinocerebellar ataxia 20,Q21124578,autosomal recessive cerebellar ataxia,Q4826996
1068,obo.DOID_0080259,"spinocerebellar ataxia, autosomal recessive 25",Q53661592,autosomal recessive cerebellar ataxia,Q4826996
1069,obo.DOID_0080260,"spinocerebellar ataxia, autosomal recessive 26",Q53661595,autosomal recessive cerebellar ataxia,Q4826996
1070,obo.DOID_0111155,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,Q50349821,autosomal recessive cerebellar ataxia,Q4826996
1071,obo.DOID_12705,Friedreich ataxia,Q913856,autosomal recessive cerebellar ataxia,Q4826996
1074,obo.DOID_0111613,autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency,Q55345912,autosomal recessive cerebellar ataxia,Q4826996
1075,obo.DOID_0111614,"spinocerebellar ataxia, autosomal recessive 22; SCAR22",Q55345911,autosomal recessive cerebellar ataxia,Q4826996
1078,obo.DOID_0111617,infantile-onset autosomal recessive nonprogressive cerebellar ataxia,Q55345791,autosomal recessive cerebellar ataxia,Q4826996
1080,obo.DOID_12704,ataxia telangiectasia,Q387082,autosomal recessive cerebellar ataxia,Q4826996
1085,obo.DOID_0050944,spastic ataxia 5,Q21097760,spastic ataxia,Q21082498
1086,obo.DOID_0050945,spastic ataxia 7,Q21097761,spastic ataxia,Q21082498
1087,obo.DOID_0080252,spastic ataxia 8,Q53661581,spastic ataxia,Q21082498
1088,obo.DOID_0050879,fragile X-associated tremor/ataxia syndrome,Q1440436,X-linked cerebellar ataxia,Q21082499
1089,obo.DOID_0050882,spinocerebellar ataxia type 5,Q18553532,spinocerebellar ataxia,Q899726
1092,obo.DOID_0050956,spinocerebellar ataxia type 6,Q2868788,spinocerebellar ataxia,Q899726
1094,obo.DOID_0050958,spinocerebellar ataxia type 7,Q22443706,spinocerebellar ataxia,Q899726
1096,obo.DOID_0050960,spinocerebellar ataxia type 10,Q21097858,spinocerebellar ataxia,Q899726
1101,obo.DOID_0050965,spinocerebellar ataxia type 15/16,Q21097863,spinocerebellar ataxia,Q899726
1102,obo.DOID_0050967,spinocerebellar ataxia type 17,Q21097864,spinocerebellar ataxia,Q899726
1103,obo.DOID_0050968,"autosomal dominant cerebellar ataxia, deafness and narcolepsy",Q21097765,spinocerebellar ataxia,Q899726
1104,obo.DOID_0050969,spinocerebellar ataxia type 18,Q21097766,spinocerebellar ataxia,Q899726
1105,obo.DOID_0050970,spinocerebellar ataxia type 19/22,Q21097767,spinocerebellar ataxia,Q899726
1106,obo.DOID_0050971,spinocerebellar ataxia type 20,Q21097768,spinocerebellar ataxia,Q899726
1107,obo.DOID_0050972,spinocerebellar ataxia type 21,Q21097769,spinocerebellar ataxia,Q899726
1108,obo.DOID_0050973,spinocerebellar ataxia type 23,Q21097865,spinocerebellar ataxia,Q899726
1109,obo.DOID_0050974,spinocerebellar ataxia type 25,Q21097770,spinocerebellar ataxia,Q899726
1110,obo.DOID_0050975,spinocerebellar ataxia type 26,Q21097771,spinocerebellar ataxia,Q899726
1111,obo.DOID_0050976,spinocerebellar ataxia type 27,Q21097867,spinocerebellar ataxia,Q899726
1112,obo.DOID_0050977,spinocerebellar ataxia type 28,Q21097868,spinocerebellar ataxia,Q899726
1113,obo.DOID_0050978,spinocerebellar ataxia type 29,Q21097773,spinocerebellar ataxia,Q899726
1114,obo.DOID_0050979,spinocerebellar ataxia type 30,Q21097774,spinocerebellar ataxia,Q899726
1116,obo.DOID_0050981,spinocerebellar ataxia type 34,Q5396477,spinocerebellar ataxia,Q899726
1117,obo.DOID_0050982,spinocerebellar ataxia type 35,Q21097777,spinocerebellar ataxia,Q899726
1118,obo.DOID_0050983,spinocerebellar ataxia type 36,Q21097778,spinocerebellar ataxia,Q899726
1119,obo.DOID_0050984,spinocerebellar ataxia type 37,Q21097779,spinocerebellar ataxia,Q899726
1120,obo.DOID_0050985,spinocerebellar ataxia type 38,Q21097780,spinocerebellar ataxia,Q899726
1121,obo.DOID_0050986,spinocerebellar ataxia type 40,Q21097781,spinocerebellar ataxia,Q899726
1122,obo.DOID_0050987,hypomyelinating leukoencephalopathy,Q21097782,spinocerebellar ataxia,Q899726
1123,obo.DOID_0050988,GRID2-related autosomal dominant spinocerebellar ataxia,Q21082503,spinocerebellar ataxia,Q899726
1124,obo.DOID_0060162,dentatorubral-pallidoluysian atrophy,Q2280285,spinocerebellar ataxia,Q899726
1125,obo.DOID_0080286,spinocerebellar ataxia 44,Q53661634,spinocerebellar ataxia,Q899726
1126,obo.DOID_0080287,spinocerebellar ataxia 45,Q53661636,spinocerebellar ataxia,Q899726
1127,obo.DOID_0080288,spinocerebellar ataxia 46,Q53661637,spinocerebellar ataxia,Q899726
1133,obo.DOID_0111747,cerebellar ataxia type 9,Q55345826,spinocerebellar ataxia,Q899726
1136,obo.DOID_0050990,episodic ataxia type 2,Q2868790,episodic ataxia,Q21503282
1137,obo.DOID_0050991,episodic ataxia type 3,Q21082504,episodic ataxia,Q21503282
1138,obo.DOID_0050992,episodic ataxia type 4,Q5383563,episodic ataxia,Q21503282
1139,obo.DOID_0050993,episodic ataxia type 5,Q21097871,episodic ataxia,Q21503282
1140,obo.DOID_0050994,episodic ataxia type 6,Q21097872,episodic ataxia,Q21503282
1141,obo.DOID_0050995,episodic ataxia type 7,Q19001364,episodic ataxia,Q21503282
1145,obo.DOID_4751,striatonigral degeneration,Q9392705,multiple system atrophy,Q1541975
1146,obo.DOID_0050783,secondary progressive multiple sclerosis,Q18965511,multiple sclerosis,Q8277
1147,obo.DOID_0050784,primary progressive multiple sclerosis,Q18553470,multiple sclerosis,Q8277
1148,obo.DOID_0050785,progressive relapsing multiple sclerosis,Q18553471,multiple sclerosis,Q8277
1149,obo.DOID_2378,relapsing-remitting multiple sclerosis,Q18555066,multiple sclerosis,Q8277
1150,obo.DOID_0050752,amyotrophic lateral sclerosis type 8,Q18553451,amyotrophic lateral sclerosis,Q206901
1156,obo.DOID_0060198,amyotrophic lateral sclerosis type 6,Q18553716,amyotrophic lateral sclerosis,Q206901
1157,obo.DOID_0060199,amyotrophic lateral sclerosis type 7,Q18966083,amyotrophic lateral sclerosis,Q206901
1160,obo.DOID_0060202,amyotrophic lateral sclerosis type 11,Q18553719,amyotrophic lateral sclerosis,Q206901
1162,obo.DOID_0060204,amyotrophic lateral sclerosis type 13,Q18553721,amyotrophic lateral sclerosis,Q206901
1163,obo.DOID_0060205,amyotrophic lateral sclerosis type 14,Q18553722,amyotrophic lateral sclerosis,Q206901
1164,obo.DOID_0060206,amyotrophic lateral sclerosis type 15,Q18553723,amyotrophic lateral sclerosis,Q206901
1165,obo.DOID_0060207,amyotrophic lateral sclerosis type 16,Q18553724,amyotrophic lateral sclerosis,Q206901
1167,obo.DOID_0060209,amyotrophic lateral sclerosis type 18,Q18553726,amyotrophic lateral sclerosis,Q206901
1168,obo.DOID_0060210,amyotrophic lateral sclerosis type 19,Q18553727,amyotrophic lateral sclerosis,Q206901
1169,obo.DOID_0060211,amyotrophic lateral sclerosis type 20,Q18553728,amyotrophic lateral sclerosis,Q206901
1171,obo.DOID_0060213,FTDALS1,Q18553730,amyotrophic lateral sclerosis,Q206901
1172,obo.DOID_0060214,FTDALS2,Q18553731,amyotrophic lateral sclerosis,Q206901
1173,obo.DOID_0060355,amyotrohpic lateral sclerosis type 22,Q21124521,amyotrophic lateral sclerosis,Q206901
1174,obo.DOID_0080225,amyotrophic lateral sclerosis type 23,Q53660471,amyotrophic lateral sclerosis,Q206901
1175,obo.DOID_0110067,juvenile amyotrophic lateral sclerosis with dementia,Q27674812,amyotrophic lateral sclerosis,Q206901
1176,obo.DOID_0110068,FTDALS3,Q27164433,amyotrophic lateral sclerosis,Q206901
1177,obo.DOID_0110069,FTDALS4,Q27164434,amyotrophic lateral sclerosis,Q206901
1179,obo.DOID_0060161,Kennedy disease,Q1995327,spinal muscular atrophy,Q580290
1180,obo.DOID_0070348,Spinal muscular atrophy with lower extremity predominance,Q7577467,spinal muscular atrophy,Q580290
1182,obo.DOID_0111194,"adult-onset proximal spinal muscular atrophy, autosomal dominant",Q55345681,spinal muscular atrophy,Q580290
1183,obo.DOID_0111196,X-linked distal spinal muscular atrophy type 3,Q55345735,spinal muscular atrophy,Q580290
1185,obo.DOID_0111527,Spinal muscular atrophy with progressive myoclonic epilepsy,Q7577468,spinal muscular atrophy,Q580290
1186,obo.DOID_4873,anterior horn cell disease,Q4771350,spinal muscular atrophy,Q580290
1187,obo.DOID_0080632,Fazio-Londe disease,Q1399155,progressive bulbar palsy,Q7248833
1188,obo.DOID_7558,glossopharyngeal motor neuropathy,Q18557648,motor neuritis,Q18557373
1189,obo.DOID_7559,asymmetric motor neuropathy,Q18557649,motor neuritis,Q18557373
1192,obo.DOID_0110036,Alzheimer disease 16,Q27677599,Alzheimer's disease,Q11081
1193,obo.DOID_0110037,Alzheimer disease 5,Q27164428,Alzheimer's disease,Q11081
1194,obo.DOID_0110038,Alzheimer disease 6,Q27677600,Alzheimer's disease,Q11081
1205,obo.DOID_0110049,Alzheimer disease 17,Q27677612,Alzheimer's disease,Q11081
1206,obo.DOID_0110050,Alzheimer disease 18,Q27677613,Alzheimer's disease,Q11081
1207,obo.DOID_0110051,Alzheimer disease 19,Q27677614,Alzheimer's disease,Q11081
1210,obo.DOID_0070150,hereditary sensory and autonomic neuropathy type 2B,Q50349716,hereditary sensory and autonomic neuropathy type 2,Q50349727
1213,obo.DOID_0070154,hereditary sensory neuropathy type 1F,Q50349720,hereditary sensory and autonomic neuropathy type 1,Q50349728
1216,obo.DOID_0050214,Lambert-Eaton myasthenic syndrome,Q1756898,neuromuscular junction disease,Q7002430
1222,obo.DOID_0050542,Charcot-Marie-Tooth disease type X,Q3281260,Charcot–Marie–Tooth disease,Q1052687
1223,obo.DOID_0050543,Charcot-Marie-Tooth disease intermediate type,Q18553298,Charcot–Marie–Tooth disease,Q1052687
1224,obo.DOID_0080067,Charcot-Marie-tooth disease type 5,Q21124579,Charcot–Marie–Tooth disease,Q1052687
1227,obo.DOID_12526,tarsal tunnel syndrome,Q1410673,tibial neuropathy,Q18554201
1228,obo.DOID_12170,radial nerve lesion,Q18554259,radial neuropathy,Q427118
1229,obo.DOID_572,mononeuritis of upper limb and mononeuritis multiplex,Q18556969,mononeuritis,Q18554914
1230,obo.DOID_9473,mononeuritis of lower limb,Q18558137,mononeuritis,Q18554914
1232,obo.DOID_9650,pathologic nystagmus,Q18558185,ocular motility disease,Q18554378
1233,obo.DOID_1278,tolosa-hunt syndrome,Q370066,ocular motility disease,Q18554378
1234,obo.DOID_539,ophthalmoplegia,Q1723331,ocular motility disease,Q18554378
1235,obo.DOID_12010,anterior ischemic optic neuropathy,Q362719,optic nerve disease,Q2879095
1237,obo.DOID_0111531,Optic nerve hypoplasia,Q7098797,optic nerve disease,Q2879095
1238,obo.DOID_1210,optic neuritis,Q972514,optic nerve disease,Q2879095
1239,obo.DOID_13561,optic disk drusen,Q7098792,optic nerve disease,Q2879095
1240,obo.DOID_146,Papilledema,Q953049,optic nerve disease,Q2879095
1241,obo.DOID_5655,chiasmal syndrome,Q5095267,optic nerve disease,Q2879095
1242,obo.DOID_705,Leber hereditary optic neuropathy,Q1262161,optic nerve disease,Q2879095
1243,obo.DOID_10865,abducens nerve palsy,Q317977,cranial nerve palsy,Q18556080
1244,obo.DOID_3816,glossopharyngeal nerve paralysis,Q18556079,cranial nerve palsy,Q18556080
1245,obo.DOID_11550,oculomotor nerve paralysis,Q1670952,third cranial nerve disease,Q18556902
1246,obo.DOID_12098,trigeminal neuralgia,Q1132120,trigeminal nerve disease,Q18556899
1247,obo.DOID_12491,Vagus nerve disease,Q18554327,glossopharyngeal nerve disease,Q18555926
1248,obo.DOID_13814,hypoglossal nerve disease,Q18554612,glossopharyngeal nerve disease,Q18555926
1249,obo.DOID_13866,multiple cranial nerve palsy,Q18554623,glossopharyngeal nerve disease,Q18555926
1250,obo.DOID_14423,glossopharyngeal neuralgia,Q11790773,glossopharyngeal nerve disease,Q18555926
1251,obo.DOID_339,accessory nerve disease,Q4672538,glossopharyngeal nerve disease,Q18555926
1252,obo.DOID_367,olfactory nerve disease,Q18556015,glossopharyngeal nerve disease,Q18555926
1253,obo.DOID_13934,facial paralysis,Q7562539,facial nerve disease,Q18554894
